OBJECTID,SEGMENT,ADT,ID,STREETNAME,STREETADDRESS,FILENAME,PERCENTILESPEED85,OUTCOME,COLLECTIONTYPE,X,Y,YEAR,PRE_NTMP_ADT,POST_NTMP_ADT,PRE_NTMP_SPEED,POST_NTMP_SPEED,POINT_X,POINT_Y
1,E CITY LIMIT TO EL DORADO,7464,376,CLEAR LAKE CITY,4422,0376,,SUCCESS,MAJOR THOROUGHFARE ADT,3203065.1,13788908.31,2012,,,,,-95.114007,29.607417
2,WAUGH TO WESTHEIMER,6182,399,COMMONWEALTH,2301,0399,,SUCCESS,MAJOR THOROUGHFARE ADT,3111756.64,13837022.34,2011,,,,,-95.39656199,29.74770501
3,BELLAIRE TO ALIEF CLODINE,11884,402,COOK,4545,0402,,SUCCESS,MAJOR THOROUGHFARE ADT,3048851.9,13820339.19,2011,,,,,-95.59624701,29.707028
4,S POST OAK TO CHIMNEY ROCK,5234,407,COURT,6200,0407,,SUCCESS,MAJOR THOROUGHFARE ADT,3087091.19,13779039.25,2011,,,,,-95.47975719,29.59038673
5,SOUTH LOOP TO BELLFORT,4275,414,CRESTMONT,7019,0414,,SUCCESS,MAJOR THOROUGHFARE ADT,3134106.28,13811599.52,2012,,,,,-95.32867835,29.67591366
6,FULTON TO IRVINGTON,13783,422,CROSSTIMBERS,505,0422,,SUCCESS,MAJOR THOROUGHFARE ADT,3120196.43,13866686.85,2012,,,,,-95.36707402,29.82852502
7,IRVINGTON TO HARDY,12652,423,CROSSTIMBERS,908,0423,,SUCCESS,MAJOR THOROUGHFARE ADT,3122641.55,13866918.15,2012,,,,,-95.35934335,29.82895172
8,GULF FWY TO ELGIN,19536,433,CULLEN,3000,0433,,SUCCESS,MAJOR THOROUGHFARE ADT,3128743.18,13830378.34,2011,,,,,-95.343711,29.72799301
9,GRIGGS TO YELLOWSTONE,9120,436,CULLEN,6200,0436,,SUCCESS,MAJOR THOROUGHFARE ADT,3126890.9,13818881.72,2011,,,,,-95.35067447,29.69655129
10,BELLFORT TO REED RD,19576,439,CULLEN,8680,0439,0,SUCCESS,MAJOR THOROUGHFARE ADT,3125671.61,13807607.83,2012,,,,,-95.35561957,29.66566696
11,MYKAWA TO TELEPHONE,5960,462,DIXIE,6700,0462,0,SUCCESS,MAJOR THOROUGHFARE ADT,3140143.9,13813493.08,2012,,,,,-95.309486,29.68059599
12,ELGIN TO WHEELER,4895,467,DOWLING,4000,0467,0,SUCCESS,MAJOR THOROUGHFARE ADT,3120633.23,13830547.5,2011,,,,,-95.36923503,29.72915269
13,CAVALCADE TO NORTH LOOP,8777,3,AIRLINE,2201,0003,,SUCCESS,MAJOR THOROUGHFARE ADT,3115714.36,13858729.71,2012,,,,,-95.38197957,29.80703573
14,BERRY TO TIDWELL,20366,7,AIRLINE,5105,0007,,SUCCESS,MAJOR THOROUGHFARE ADT,3114578.86,13870827.66,2012,,,,,-95.38437919,29.84038522
15,TELEPHONE TO MYKAWA,12021,16,AIRPORT,7051,0016,,SUCCESS,MAJOR THOROUGHFARE ADT,3142886.15,13802224.57,2011,,,,,-95.301976,29.649384
16,GREENSPOINT TO NORTH FWY,31953,49,ALDINE BENDER,44,0049,,SUCCESS,MAJOR THOROUGHFARE ADT,3105972.54,13903791.73,2012,,,,,-95.40832036,29.93171934
17,ALDINE BENDER TO NORTH BELT,18737,57,ALDINE WESTFIELD,14910,0057,,SUCCESS,MAJOR THOROUGHFARE ADT,3122455.53,13905103.89,2012,,,,,-95.356178,29.93392399
18,IH 45 TO TAFT,40610,66,ALLEN PKWY,1800,0066,,SUCCESS,MAJOR THOROUGHFARE ADT,3115668.46,13842059.25,2011,,,,,-95.38374937,29.76121798
19,KNIGHT RD TO REED RD,17614,79,ALMEDA,11000,0079,,SUCCESS,MAJOR THOROUGHFARE ADT,3111666.25,13806337.91,2011,,,,,-95.399823,29.66336901
20,REED RD TO OREM,21465,80,ALMEDA,11650,0080,,SUCCESS,MAJOR THOROUGHFARE ADT,3109857.01,13800507.69,2011,,,,,-95.40608133,29.647496
21,OREM TO ALMEDA GENOA,22275,81,ALMEDA,12800,0081,,SUCCESS,MAJOR THOROUGHFARE ADT,3106898.32,13791061.89,2011,,,,,-95.416303,29.62178101
22,MEMORIAL TO KATY FWY,7685,96,ANTOINE,700,0096,,SUCCESS,MAJOR THOROUGHFARE ADT,3086356.29,13848276.52,2012,,,,,-95.47550401,29.780768
23,KATY FWY TO WESTVIEW,13909,97,ANTOINE,1206,0097,,SUCCESS,MAJOR THOROUGHFARE ADT,3086210.67,13851959.48,2012,,,,,-95.47561303,29.79090356
24,W 43RD TO PINEMONT,26434,102,ANTOINE,5050,0102,0,SUCCESS,MAJOR THOROUGHFARE ADT,3086460.58,13869332.52,2012,,,,,-95.47317398,29.83863638
25,NORTH BELT TO GARNERS BAYOU,17825,108,ATASCOCITA,15610,0108,,SUCCESS,MAJOR THOROUGHFARE ADT,3146994.74,13909978.21,2012,,,,,-95.27825297,29.94519645
26,GULF FWY TO SPUR 527,7003,109,BAGBY,2300,0109,,SUCCESS,MAJOR THOROUGHFARE ADT,3117622.1,13838061.08,2011,,,,,-95.37798499,29.750062
27,SPRR TO WEST LOOP,19402,129,BEECHNUT,4610,0129,,SUCCESS,MAJOR THOROUGHFARE ADT,3093465.52,13815159.57,2010,,,,,-95.45626582,29.68914638
28,SYNOTT TO W CITY LIMIT,34826,158,BELLAIRE,13100,0158,,SUCCESS,MAJOR THOROUGHFARE ADT,3042291.43,13818867.17,2011,,,,,-95.617039,29.70350499
29,CHIMNEY ROCK TO HILLCROFT,25154,176,BELLFORT,5614,0176,,SUCCESS,MAJOR THOROUGHFARE ADT,3084670.97,13803301.7,2011,,,,,-95.48507499,29.65728099
30,FONDREN TO S GESSNER,21667,178,BELLFORT,8000,0178,,SUCCESS,MAJOR THOROUGHFARE ADT,3074100.26,13802378.25,2011,,,,,-95.51842999,29.65561199
31,WEST BELT TO SW FWY,18069,180,BELLFORT,10200,0180,,SUCCESS,MAJOR THOROUGHFARE ADT,3061213.6,13800911.51,2011,,,,,-95.55912288,29.65262879
32,W TIDWELL TO W LITTLE YORK,32963,205,BINGLE,6230,0205,,SUCCESS,MAJOR THOROUGHFARE ADT,3081334.7,13875974.34,2012,,,,,-95.48870598,29.85731678
33,ALDER TO RENWICK,15679,216,BISSONNET,5808,0216,,SUCCESS,MAJOR THOROUGHFARE ADT,3084832.29,13818817.57,2011,,,,,-95.4830984,29.69991807
34,KATY FWY TO WESTVIEW,22683,231,BLALOCK,1170,0231,0,SUCCESS,MAJOR THOROUGHFARE ADT,3071600.63,13850539.41,2010,,,,,-95.52178759,29.7882028
35,CHASEWOOD TO FUQUA,3500,242,BLUE RIDGE,15300,0242,,SUCCESS,MAJOR THOROUGHFARE ADT,3082753.35,13783549.8,2010,,,,,-95.49297481,29.60314405
36,BELLAIRE BLVD TO HARWIN,5503,248,BOONE,4350,0248,,SUCCESS,MAJOR THOROUGHFARE ADT,3055405.12,13821588.07,2010,,,,,-95.57549699,29.70993499
37,MAIN TO N STADIUM,5258,251,BRAESWOOD N,2100,0251,,SUCCESS,MAJOR THOROUGHFARE ADT,3108105.88,13818605.12,2010,,,,,-95.40984307,29.69738966
38,KIRBY TO S MAIN,6514,252,BRAESWOOD N,2350,0252,,SUCCESS,MAJOR THOROUGHFARE ADT,3106601.31,13818874.85,2010,,,,,-95.41455399,29.69825799
39,FANNIN TO N STADIUM,10192,263,BRAESWOOD S,2100,0263,,SUCCESS,MAJOR THOROUGHFARE ADT,3109468.81,13819402.96,2011,,,,,-95.40547483,29.69946761
40,BUFFALO SPEEDWAY TO STELLA LINK,5964,267,BRAESWOOD S,3601,0267,,SUCCESS,MAJOR THOROUGHFARE ADT,3101202.53,13815907.71,2011,,,,,-95.43183673,29.69055601
41,MEMORIAL TO GESSNER,18475,278,BRIAR FOREST,9400,0278,,SUCCESS,MAJOR THOROUGHFARE ADT,3068472.08,13835252.6,2010,,,,,-95.533075,29.74643799
42,WEST BELT TO WILCREST,25779,280,BRIAR FOREST,10620,0280,,SUCCESS,MAJOR THOROUGHFARE ADT,3058772.06,13835244.17,2010,,,,,-95.56363099,29.74720199
43,W ALABAMA TO RICHMOND,17573,298,BUFFALO SPEEDWAY,3121,0298,,SUCCESS,MAJOR THOROUGHFARE ADT,3101315.42,13832513.17,2010,,,,,-95.429885,29.736191
44,KATY FWY TO WESTVIEW,13981,312,BUNKER HILL,1100,0312,,SUCCESS,MAJOR THOROUGHFARE ADT,3068581.91,13849912.83,2010,,,,,-95.531359,29.78672699
45,75TH ST TO NAVIGATION E JCT,3887,330,CANAL,7641,0330,,SUCCESS,MAJOR THOROUGHFARE ADT,3146663.37,13833664.91,2012,,,,,-95.2869477,29.73547429
46,HILLCROFT TO BLUE RIDGE,3823,348,CHASEWOOD,7318,0348,,SUCCESS,MAJOR THOROUGHFARE ADT,3081966.72,13785026.07,2011,,,,,-95.49530999,29.60726698
47,RICHMOND TO SW FWY,35581,354,CHIMNEY ROCK,3350,0354,,SUCCESS,MAJOR THOROUGHFARE ADT,3086631.68,13829515.42,2011,,,,,-95.47641789,29.72917536
48,SW FWY TO GULFTON,21995,355,CHIMNEY ROCK,5711,0355,,SUCCESS,MAJOR THOROUGHFARE ADT,3086752.6,13825860.23,2011,,,,,-95.47638401,29.719118
49,BISSONNET TO EVERGREEN,12407,358,CHIMNEY ROCK,7300,0358,,SUCCESS,MAJOR THOROUGHFARE ADT,3087013.75,13818828.66,2011,,,,,-95.476229,29.699768
50,GASMER TO W AIRPORT,16495,363,CHIMNEY ROCK,12111,0363,,SUCCESS,MAJOR THOROUGHFARE ADT,3085708.74,13799646.65,2011,,,,,-95.48215504,29.64714804
51,W AIRPORT TO S MAIN,11393,364,CHIMNEY ROCK,12700,0364,,SUCCESS,MAJOR THOROUGHFARE ADT,3085731.77,13798036.84,2011,,,,,-95.48223499,29.64272101
52,WASHINGTON TO KATY FWY,21884,477,DURHAM,1700,0477,0,SUCCESS,MAJOR THOROUGHFARE ADT,3106974.58,13847013.1,2011,,,,,-95.41065899,29.77557101
53,CITY LIMIT TO ALIEF CLODINE,20482,514,ELDRIDGE,3710,0514,0,SUCCESS,MAJOR THOROUGHFARE ADT,3039923.35,13823668.43,2011,,,,,-95.62405895,29.71689131
54,JUDIWAY TO W 34TH ST,24573,527,ELLA BLVD,3515,0527,,SUCCESS,MAJOR THOROUGHFARE ADT,3100466.48,13862984.43,2010,,,,,-95.42962799,29.82001899
55,W18TH ST TO W11TH ST,5110,530,ELLA BLVD,1100,0530,,SUCCESS,MAJOR THOROUGHFARE ADT,3100647.06,13851948.33,2010,,,,,-95.43012098,29.789669
56,CAVALCADE TO NORTH LOOP,5196,536,ELYSIAN,5411,0536,,SUCCESS,MAJOR THOROUGHFARE ADT,3125309.16,13859801.97,2012,,,,,-95.35163404,29.80916344
57,N CALUMET TO BLODGETT,4779,538,ENNIS,5006,0538,,SUCCESS,MAJOR THOROUGHFARE ADT,3120823.47,13827188.48,2009,,,,,-95.36896445,29.71990348
58,HEMPSTEAD TO NW FWY,23004,541,FAIRBANKS N HOUSTON,6100,0541,,SUCCESS,MAJOR THOROUGHFARE ADT,3070106.77,13874665.01,2012,,,,,-95.52423499,29.85464
59,S BRAESWOOD TO OLD SPANISH TRAIL,25238,549,FANNIN,7205,0549,,SUCCESS,MAJOR THOROUGHFARE ADT,3110745.18,13819125.19,2008,,,,,-95.40148318,29.69859616
60,W CITY LIMIT TO E LAKE HOUSTON PKWY,24985,562,FM 1960,10610,0562,,SUCCESS,MAJOR THOROUGHFARE ADT,3196822.12,13937873.98,2012,,,,,-95.11808525,30.01741086
61,KATY FWY TO BARRYKNOLL,34465,663,GESSNER,900,0663,,SUCCESS,MAJOR THOROUGHFARE ADT,3064483.94,13847450.82,2011,,,,,-95.544502,29.78029301
62,ELLA TO GEARS,6712,697,GREENS PKWY,1351,0697,0,SUCCESS,MAJOR THOROUGHFARE ADT,3095637.44,13907103.59,2010,,,,,-95.4406161,29.94169098
63,NORTH FWY TO GREENS PKWY,32088,706,GREENS RD,213,0706,,SUCCESS,MAJOR THOROUGHFARE ADT,3101815.81,13909935.04,2011,,,,,-95.42084399,29.94895498
64,TELEPHONE TO GULF FWY,7491,720,GRIGGS,6311,0720,,SUCCESS,MAJOR THOROUGHFARE ADT,3140299.88,13823101.42,2012,,,,,-95.30803991,29.70699278
65,GESSNER TO WEST BELT,15519,744,HAMMERLY,10514,0744,,SUCCESS,MAJOR THOROUGHFARE ADT,3061868.08,13859143.89,2010,,,,,-95.55165799,29.812647
66,SAMPSON TO N YORK,7878,754,HARRISBURG,3406,0754,,SUCCESS,MAJOR THOROUGHFARE ADT,3129352.51,13837684.17,2009,,,,,-95.341072,29.748022
67,DACOMA TO ANTOINE,19659,776,HEMPSTEAD,10640,0776,,SUCCESS,MAJOR THOROUGHFARE ADT,3087111.87,13859111.21,2010,,,,,-95.472093,29.810487
68,W 34TH ST TO BINGLE,23278,778,HEMPSTEAD,11850,0778,,SUCCESS,MAJOR THOROUGHFARE ADT,3082457.98,13862655.69,2010,,,,,-95.486426,29.82061499
69,JACKSON TO ALMEDA,4749,786,HERMANN,1701,0786,,SUCCESS,MAJOR THOROUGHFARE ADT,3116117.64,13826628.86,2011,,,,,-95.38383785,29.71876614
70,BELLAIRE TO BISSONNET,23361,792,HILLCROFT,7200,0792,,SUCCESS,MAJOR THOROUGHFARE ADT,3081664.28,13819357.2,2011,,,,,-95.49302199,29.70166299
71,W AIRPORT TO S MAIN,12696,798,HILLCROFT,12511,0798,,SUCCESS,MAJOR THOROUGHFARE ADT,3082429.88,13796874.28,2011,,,,,-95.49273499,29.63979799
72,S MAIN TO GREENBRIAR,43509,822,HOLCOMBE,2228,0822,,SUCCESS,MAJOR THOROUGHFARE ADT,3107814.63,13821809.22,2011,,,,,-95.41045032,29.70622153
73,LONG POINT TO HAMMERLY,4068,825,HOLLISTER,1917,0825,0,SUCCESS,MAJOR THOROUGHFARE ADT,3076214.89,13857566.49,2010,,,,,-95.5065852,29.80714038
74,KNIGHT TO ALMEDA,7630,835,HOLLY HALL,2400,0835,,SUCCESS,MAJOR THOROUGHFARE ADT,3113205.67,13814381.07,2010,,,,,-95.39419723,29.68534737
75,MAXEY RD TO EAST FWY,24445,566,FEDERAL,918,0566,,SUCCESS,MAJOR THOROUGHFARE ADT,3168373.81,13848434.16,2012,,,,,-95.21706799,29.77415601
76,CLINTON TO MARKET,2405,569,FIDELITY,3600,0569,,SUCCESS,MAJOR THOROUGHFARE ADT,3156277.82,13842277.78,2009,,,,,-95.25579901,29.75830498
77,WESTHEIMER TO RICHMOND,25181,571,FONDREN,3002,0571,,SUCCESS,MAJOR THOROUGHFARE ADT,3072601.52,13830276.07,2011,,,,,-95.52053386,29.73242125
78,BELLAIRE TO SW FWY,27163,574,FONDREN,7120,0574,,SUCCESS,MAJOR THOROUGHFARE ADT,3072878.02,13819500.32,2011,,,,,-95.520673,29.702778
79,SW FWY TO WESTPARK,17351,590,FOUNTAINVIEW,3500,0590,,SUCCESS,MAJOR THOROUGHFARE ADT,3084214.72,13827920.04,2011,,,,,-95.48418101,29.72499
80,CHARTRES TO NAVIGATION,10754,591,FRANKLIN,2018,0591,,SUCCESS,MAJOR THOROUGHFARE ADT,3126005.13,13841091.04,2011,,,,,-95.35128097,29.75767391
81,NORTH LOOP TO CROSSTIMBERS,11146,600,FULTON,7019,0600,,SUCCESS,MAJOR THOROUGHFARE ADT,3117297.63,13864856.74,2009,,,,,-95.376391,29.82374199
82,ALMEDA TO BUFFALO SPEEDWAY,17269,621,FUQUA,3318,0621,,SUCCESS,MAJOR THOROUGHFARE ADT,3103464.71,13787964.94,2011,,,,,-95.42740308,29.6135569
83,BUFFALO SPEEDWAY TO HIRAM CLARKE,20263,622,FUQUA,4324,0622,0,SUCCESS,MAJOR THOROUGHFARE ADT,3098754.69,13787761.17,2010,,,,,-95.44223947,29.61339158
84,HILLCROFT TO FONDREN,10357,627,FUQUA,7900,0627,,SUCCESS,MAJOR THOROUGHFARE ADT,3078755.15,13782790.14,2010,,,,,-95.50562277,29.60138491
85,HOWARD TO WINKLER,10814,633,GALVESTON,5200,0633,,SUCCESS,MAJOR THOROUGHFARE ADT,3159630.75,13812705.03,2009,,,,,-95.24822639,29.67672506
